date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog;fogheavy;mist;rain;fogground;ice;glaze;drizzle;snow;freezingrain;smokehaze;thunder;highwind;hail;blowingsnow;dust;freezingfog
26.02.2018;39.9;63;0.09;0;0;4.25;20;16.11;20;25.95;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
27.02.2018;35.1;61;0;0;0;2.24;110;14.99;50;19.01;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
28.02.2018;39;57;0.07;0;0;4.92;220;12.97;200;16.11;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
01.03.2018;50;57;0.59;0;0;4.47;220;14.99;260;21.03;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
02.03.2018;41;55;0;0;0;14.99;300;25.95;270;46.08;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
03.03.2018;35.1;57;0;0;0;8.72;340;17;350;27.96;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
04.03.2018;35.1;55.9;0;0;0;6.93;40;21.03;20;27.96;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
05.03.2018;26.2;54;0;0;0;4.7;50;12.97;50;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
06.03.2018;32;42.1;0.45;0;0;4.47;140;12.97;130;18.12;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
07.03.2018;35.1;54;0;0;0;6.71;290;18.12;300;27.07;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
08.03.2018;27.1;46.9;0;0;0;4.47;250;16.11;310;25.05;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
09.03.2018;25.2;52;0;0;0;6.04;260;17;250;25.05;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
10.03.2018;37.9;55.9;0;0;0;3.13;140;12.08;140;14.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
11.03.2018;37.9;48.9;0.21;0;0;7.83;80;16.11;80;21.92;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
12.03.2018;32;37.9;0.92;1.42;0;7.16;30;14.09;30;19.91;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No
13.03.2018;29.1;48;0;0;1.18;6.71;290;17;270;25.95;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
14.03.2018;31.1;44.1;0;0;0;7.61;280;18.12;310;31.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
15.03.2018;24.3;64.9;0;0;0;11.63;230;29.97;240;42.05;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
16.03.2018;39;68;0;0;0;5.82;290;17;260;31.09;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
17.03.2018;34;71.1;0.27;0;0;6.26;230;25.05;220;31.99;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
18.03.2018;39.9;60.1;0.01;0;0;6.04;40;16.11;40;21.92;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
19.03.2018;44.1;64.9;0;;0;5.59;120;12.08;230;14.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
20.03.2018;36;57;1.05;0;0;8.72;50;21.03;40;27.07;Yes;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No
21.03.2018;32;42.1;0.05;0;0;6.93;290;17;290;27.07;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No
22.03.2018;32;53.1;0;0;0;6.04;310;14.09;340;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
23.03.2018;27.1;55.9;0;0;0;3.8;270;16.11;260;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
24.03.2018;27.1;50;0.91;0.2;0;3.58;260;14.99;260;21.03;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
25.03.2018;33.1;54;0.3;0;0;9.84;50;21.03;90;27.96;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
26.03.2018;32;53.1;0;0;0;10.29;40;19.91;40;25.05;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
27.03.2018;34;48.9;0.01;0;0;5.37;220;14.09;210;17;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
28.03.2018;43;75.9;0;0;0;10.74;240;21.92;230;29.08;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
29.03.2018;55.9;80.1;0;0;0;13.87;230;25.05;230;31.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
30.03.2018;51.1;71.1;0.03;0;0;13.2;230;23.04;200;31.09;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
31.03.2018;39.9;64;0;0;0;5.82;200;14.09;210;19.01;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
01.04.2018;41;75;0;0;0;7.61;230;16.11;240;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
02.04.2018;51.1;81;0;0;0;9.84;50;21.03;40;25.95;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
03.04.2018;45;75;0;0;0;7.61;200;19.91;200;25.05;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
04.04.2018;48;77;0;0;0;13.87;230;23.94;340;31.09;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
05.04.2018;34;61;0;0;0;3.58;270;10.07;280;17;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
06.04.2018;45;73;0;0;0;11.41;240;25.95;230;33.11;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
07.04.2018;33.1;62.1;0.99;0;0;8.05;30;21.03;20;31.99;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No
08.04.2018;32;52;0;0;0;4.92;40;17;20;25.05;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No
09.04.2018;39.9;57;0;0;0;5.14;120;16.11;130;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
10.04.2018;39;62.1;0;0;0;5.37;30;14.99;40;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
11.04.2018;37.9;62.1;0;0;0;5.37;230;12.08;230;18.12;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
12.04.2018;44.1;75;0;0;0;13.87;220;25.95;220;34;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
